answer;question
o;历史是人写出来的，我们所走的每一步都是在书写自己的历史。
x;专家建议，求职者谨慎的态度找工作是对的，但也不可过于挑剔。
o;藏族的毛织技艺有着悠久的历史，其制品以围裙和地毯最为著名。
o;这里已发现的木本植物有517种，有“活化石”之称的银杏比比皆是。
o;同学们纷纷在留言簿上给老师留言，表达他们对老师的祝福。
o;微笑是一种国际通用的语言，不用翻译，就能打动人们的心弦。
x;狮子每天要睡 20 个小时左右，因而它在捕食猎物时会消耗大量体力。
o;世上最珍贵的东西不是“得不到的”和“已失去的”，而是眼前的幸福。
o;室内色彩除了会对视觉产生影响，还会影响人们的情绪和心理。
o;吴起变法虽然失败了，但它却在楚国贵族政治中激起了巨大的波澜。
x;它是把事件的结局先写出来，然后再按时间顺序叙述事情的经过叫倒叙。
o;中暑时应到阴凉通风处休息，或用冷水、酒精降温，必要时应尽快就医。
o;一个人最难得的是平常心，得而不喜，失而不忧，内心宁静，则幸福常在。
o;研究表明，当沙漠地表植物覆盖率达到 40%的时候，就不会出现扬沙天气了。
o;中国自古就有“以茶治病”的历史，古代民间用茶治疗糖尿病、伤风等疾病的记载甚多。
x;可燃冰是海底极具价值的矿产资源，它有望被取代煤、石油和天然气，成为21世纪的新能源。
o;据记载，世界上第一盏红黄绿三色、四方向的交通信号灯是在 1920 年投入使用的。
x;女人似乎天生就是感性动物，她们对色彩、形状、声音的敏感度普遍高于男性之上。
o;小提琴音色优美，音域宽广，表现力强，为人们所钟爱，被称为西洋乐器中的“王后”。
o;成语是人们长期以来习用的、简洁精辟的固定短语，它承载着博大精深的中华传统文化。
o;孩子们喜欢探寻这个世界，而且总能提出千奇百怪的问题，这些问题看似天真，却闪烁着智慧的光芒。
x;当你处于某种强烈的情绪状态的情况，不要急着做决定，因为此时做的决定很可能会让你在冷静时后悔。
o;千岛湖景区总面积达 982 平方公里，其中湖区面积 573 平方公里，因湖内拥有星罗棋布的 1078 个岛屿而得名。
o;“穿越小说”是网络文学的一种，其主人公由于某种原因从自己所在的时空转换到另外的时空，故事情节也由此展开。
o;笑声如阳光，能驱走人们脸上的冬天。
x;保持年轻的之一秘诀是拥有健康的心态。
o;网站正在维护中，如有不便，敬请谅解。
o;世上没有令人绝望的处境，只有对处境绝望的人。
o;四川省计划今年新增三条国际直飞航线。
x;春天来了，到处是呈现出一片生机勃勃的景象。
o;您好，您拨打的电话正在通话中，请稍后再拨。
o;专家建议，两岁以下的儿童尽量不要接触电子产品。
o;火龙果热量低、纤维高，深受减肥人士的喜爱。
o;竹楼是傣族传统的建筑形式，有利于防酷热和湿气。
o;时间如同一位慈母，可以帮助我们抚平心灵的创伤。
x;通过载人航天技术的发展水平，体现了一个国家的综合实力。
o;生长在野外的长尾鸡，尾羽每年能增长一米左右。
x;任何每一个障碍，都有可能成为一个超越自我的契机。
o;西溪湿地距离杭州西湖 5 公里，是罕见的城中次生湿地。
o;移动广告的增长速度远远超过了其他广告形式，具备强劲的发展潜力。
x;青蛙因经常吃害虫农田里的而被人们称为“庄稼的保护神”。
o;这次展出的齐白石的画作包括了他各个时期的花鸟山水精品。
o;行书是介于楷书和草书之间的一种字体，工整清晰，实用性高。
o;据统计，人类常见的疾病有135种，其中106种与维生素摄取不足有关。
x;蔬菜要尽可能现炒现吃，逃避长时间保温和多次加热。
o;近期新车优惠少，观望客户较多，市场上出现了持币待购现象。
o;“满月酒”是中国父母为庆祝自己的孩子出世满一个月而设的宴席。
o;他迷恋昆虫研究，曾用自己的积蓄买了一块儿荒地，专门用来放养昆虫。
o;手指肚上有许多整齐又有规律的图形，这就是人们常说的“指纹”。
o;这种设计，既能减弱流水对桥身的冲击力，又能减轻桥自身的重量。
o;月亮反射的太阳光只有 7%能到达地球，但已足够照亮地球上的黑夜。
x;一个人要有主见，要具备判断是非的能力，更不会被别人的意见所左右。
o;好的摄影师能够把日常生活中稍纵即逝的平凡事物转化为不朽的视觉图像。
o;现实是此岸，理想是彼岸，中间隔着湍急的河流，行动则是架在河上的桥梁。
x;早在原始社会末期，人们就在石头或崖壁上刻画符号的方法用以记事，这就是碑的起源。
o;卧室里浓烈的色彩会刺激人的神经，让人过度兴奋，不利于人较快地进入深度睡眠状态。
o;南京林业大学的一名学生设计了一种自动穿衣架，可帮那些手脚不便的人轻松穿上衣服。
o;南锣鼓巷全长 786 米。以南锣鼓巷为主干，向东西各伸出对称的八条胡同，呈鱼骨状，俗称蜈蚣街。
o;凡是妨碍到人们正常休息、学习和工作的声音，以及对人们要听的声音产生干扰的声音，都属于噪声。
x;鲜花饼是一款以云南特有的食用玫瑰花入料的酥饼，是以凭“花味、云南味”为特色的云南经典点心的代表。
o;《子不语》是清朝著名文学家袁枚撰写的一部笔记小品，多记述奇闻异事、奇人鬼怪。
x;森林能有效地保护生物的多样性，目前地球上已知的生物一半儿以上有在森林中栖息繁衍的。
o;紫丁香盛开时，硕大而艳丽的花序布满全株，芳香四溢，观赏效果甚佳，是庭园裁种的著名花木。
o;传统观念认为动画片的受众仅仅是儿童，但目前越来越多的公司开始推出适合不同年龄受众的多元化产品。
x;秦始皇兵马俑是在 1974 年发现了。
o;正方形是四条边等长、四个角相等的四边形。
o;冬冷夏热，四季分明，是温带气候的显著特点。
o;正像世界上没有两片完全一样的树叶，每个人也是独一无二的。
o;未来一周我国将出现大范围雨雪天气。
o;生姜具有暖胃驱寒的功效，是很好的保健食材。
x;已经 10 点了，我估计他今天一定不会来参加会议了。
o;小孩子的模仿能力很强，所以成人在小孩子面前要注意自己的言行。
o;在家人的照顾下，他很快恢复了健康。
o;保持好的心情，关键是要有一个好的心态。
o;商业广告显然不同于公益广告，因为它带有明显的功利色彩。
x;为了防止今后不再发生类似的事件，有关部门及时完善了管理措施。
x;妈妈把茶几擦得一尘不染得干净。
o;笔画多的字写起来麻烦，可是认起来未必难。
o;锻炼的时候运动量要适当，以免对身体造成伤害。
o;陶渊明流传下来的诗歌大约有120首，另外还有散文、辞赋多篇。
o;农历九月九日，为中国传统的重阳节。
o;对于幸福的含义，每个人都有不同的理解。
x;由于自然资源匮乏，该个国家的主要工业原料均依赖进口。
o;这种星系没有一定的形状，也没有明显的中心，所以被称为不规则星系。
x;生活是一把镜子，你对它微笑，它也对你微笑。
o;窗花是一种剪纸艺术品，在中国民间已有上千年的历史。
o;一个人的快乐，不是因为他拥有的多，而是因为他计较的少。
o;臭氧层就好比是地球的“保护伞”，阻挡了太阳99%的紫外线辐射。
o;中国画基本上可以分为三类：人物画、山水画、花鸟画。
x;河水的来源除了地下水之外，还有雨水也是它的来源之一。
o;很多人都同意的不见得就是对的，真理往往掌握在少数人手里。
o;《三字经》自南宋以来，已有700多年历史，可谓家喻户晓，脍炙人口。
o;北京烤鸭这个有着近 150 年历史的北京名吃，如今已成为世界闻名的美食。
x;报告说，该公司第四季度赢利达 18.6 亿元，十分超出了分析人士此前的预期。
o;作为中国十大传世名画之一，《清明上河图》生动地记录了中国十二世纪城市生活的面貌。
o;幽默的确是一个很有魔力的东西，拥有了它，我们与别人的交谈就会变得更有味道，相处也会变得非常融洽。
o;人人都需要关爱，关爱能增近两个人的感情，拉近两个人的距离。但是，这种关爱的前提是适度。
o;人们在财务困境中挣扎的一个原因是：他们在学校里学习多年，却没有学到任何关于金钱方面的知识。
o;1940 年 11 月 27 日出生的李小龙，虽然不是最早进入好莱坞的华人，却是最早成为国际巨星的功夫演员。
x;作为一名翻译工作者，一方面要努力学好外语，一方面要学好本民族语言也是非常重要的，两者缺一不可。
o;地球上的生命有 30 多亿年的发展史，其中 85%以上的时间是在海洋中度过的。
o;经过长期的实践，中国建筑在运用色彩方面积累了丰富的经验，并形成了南北不同的地域色彩风格。
o;人的精力是有限的，我们不可能一个人做所有的事，所以作为一个企业领导，必须学会把权力授予适当的人。
x;南京，古称金陵，已有近2500年的历史。她既有自然山水之胜，又有历史文物之雅，兼具古今文明的园林化城市。
o;请严格按照使用说明来操作机器。
o;您放心，我们会尽快给您一个答复的。
x;我的抽屉里堆满了旅游时买了各种纪念品。
o;第17届中国国际软件博览会将在本周四举办。
o;彝族的传统节日以火把节最为隆重。
x;这项活动的意义，在于呈现人们的环保意识。
o;地球是迄今为止所发现的唯一适合人类生存的行星。
o;镇江恒顺香醋始创于1840年，为中国四大名醋之一。
o;高原地区空气稀薄，紫外线十分强烈。
o;真诚待人是人际关系得以维持和发展的保证。
x;感谢您的来电，请您稍后进行评价对本次服务，谢谢。
o;茯苓是一种无色无味的中草药材，具有养颜和滋补的功效。
o;针对这一突发事件，公司及时采取了应对措施。
x;人要学会控制自己的欲望，而不应当把欲望所支配。
o;空气、水、能源和土地，是人类赖以生存的基本要素。
o;他对昆虫进行了长达30年的观察，揭开了昆虫世界的许多奥秘。
o;他们离开大城市后，在一个宁静的乡村定居了下来。
o;随着数码相机的日益普及，传统的胶卷相机正逐渐退出市场。
o;接受了 4 年正规的声乐训练后，他对声音的驾驭更得心应手了。
x;有时我们难免要对生活做出妥协，而且一些基本原则永远不能放弃。
x;他将这次演唱会的门票收入全部捐献一家儿童医院。
o;对艺术的理解虽因人而异，但真正的艺术品总能得到一致的赞许。
o;她戴着一顶别致的帽子，穿着一件蓝色的连衣裙，看上去漂亮极了。
o;由于空气对光的散射作用，日出和日落前后，天边常会出现绚丽的彩霞。
o;俗话说聚沙成塔，看似不起眼的小工作可能正是大事业的开始。
o;那一刻，观众席上鸦雀无声，所有人都被他的精彩表演吸引住了。
o;工作间隙做些转颈、后仰的简单运动，可以有效缓解颈部肌肉的疲劳。
x;现代医学研究表明，22时到凌晨4时是人体免疫系统、造血系统最旺盛。
x;新春佳节，每个家家户户张贴大红春联，给节日增添了不少欢乐祥和的气氛。
o;依托于电子商务平台，家具行业有了新的营销模式，满足了大批年轻人的购买需求。
o;时间像倒在掌心里的水，无论你摊开还是握紧，它总会从指缝间一点一滴地流淌干净。
o;天然的玛瑙冬暖夏凉，人工合成的则会随外界温度的变化而变化，天热它也热，天凉它也凉。
o;电子书不需要用纸，比较环保，且携带方便，容量大，因此深受人们的喜爱。
o;这部影片生动地展现了帝企鹅这一可爱而又坚强的物种与严酷的自然环境做斗争的过程。
o;幸运之神的降临往往是因为你多坚持了一会儿，多迈出了几步，多找了一条路，多拐了一个弯。
x;“口头禅”是一个人的习惯用语。它的形成跟使用者的性格、生活经历有关系很大，可以算是一个人的标志。
o;人类从河流、湖泊、含水土层和湿地取来的水，74%用于农业，18%用于工业，8%用于生活。
o;蜘蛛结网可能逮不到昆虫，但蜘蛛不结网就永远逮不到昆虫。努力可能没有回报，但不努力一定没有回报。
o;香菜富含香精油，香气浓郁，但香精油极易挥发，且经不起长时间加热，所以香菜最好在食用前加入，以保留其香气。
x;海参全身的骨头多达2000万块儿，但这些骨头极小，用肉眼从来看不见，要在显微镜下放大几十倍甚至几百倍才能看见。
o;梁羽生是公认的新派武侠小说的开山祖师。
o;牡丹别名木芍药，是花中之王，素有“国色天香”之称。
x;为了避免今后不再发生类似事故，我们必须尽快健全安全制度。
o;拉萨的天空总是那么湛蓝、透亮，好像用清水洗过的蓝宝石一样。
o;机会总是留给有准备的人，有准备才能及时抓住机会。
o;他选择了自己喜欢的职业，并成为了这个领域中的专家。
o;据鉴定，这幅画出自著名画家齐白石之手，有着极高的收藏价值。
x;“地球村”之所以能成为现实，主要出于互联网技术的迅猛发展。
x;我总是能从父母得到鼓励和支持。
o;蜂鸟是世界上已知的最小的鸟类。
o;《西游记》是在民间流传的唐僧取经故事的基础上写成的。
o;倾听别人谈话，对我来说是获得某种知识、经验和思想启迪的机会。
x;通过这次活动，使我们开阔了眼界，增长了见识。
o;一提起健身，很多人马上就会想到设施齐全的健身房。
o;避讳是中国古代社会的一种习俗，也是一种特有的文化现象。
o;在危险情况下人的嗅觉会变灵敏，并向大脑发出避开危险的“警报”。
o;何教授的调查经媒体报道后，引起了社会的广泛关注。
x;他这个人除了有点儿固执之外，还有不少让人值得佩服。
o;医院坐落在小山之上，是一座典型的中国古代园林式建筑。
o;那里是休闲度假的好地方，更是难得的天然浴场，吸引着大量游客。
o;这项工程至少需要 10 年才能完工。
x;在年降雨量少于 500 毫升的地区不能种树，但只能种草。
o;经验多固然是好事，但如果一个人只靠经验工作，也是不行的。
o;世界各国的人口寿命数据表明，女性的平均寿命要比男性长7年。
o;中国画基本上可以分为三类：人物画、山水画、花鸟画。
x;河水的来源除了地下水之外，还有雨水也是它的来源之一。
o;很多人都同意的不见得就是对的，真理往往掌握在少数人手里。
o;《三字经》自南宋以来，已有700多年历史，可谓家喻户晓，脍炙人口。
o;书画鉴定是一门综合学科，要求鉴定家有非常全面的学识和很高的艺术造诣。
o;面对逆境，是随波逐流，还是奋起抗争？强者懂得支配环境，而弱者往往受制于环境。
o;有的花在春天盛开，有的花在夏天怒放，只有梅花在寒冬中绽放，凌霜傲雪，香气袭人。
x;实践表明，一个国家森林的覆盖率达到全国总面积30%以上，或者分布均匀时，就不会发生较大的风沙旱涝等自然灾害。
o;我们做事要做到“恰到好处”，任何事情恰到好处才是最好的，过与不及都不好甚至有害。
o;自古以来，江浙一带就是有名的“才子之乡”，明清两朝一共产生了 202名状元，仅苏州地区就有 35 名。
o;对于工作繁忙的人来说，时间似乎总是不够，因此如何合理安排、控制时间成为许多人需要学习的内容。
x;怀疑自己，导致我们内心受挫，总是生活在失败的阴影里；怀疑别人，则缺乏安全感让我们，总是生活在自己假想的危险中。
o;地球上的生命有 30 多亿年的发展史，其中 85%以上的时间是在海洋中度过的。
o;经过长期的实践，中国建筑在运用色彩方面积累了丰富的经验，并形成了南北不同的地域色彩风格。
o;人的精力是有限的，我们不可能一个人做所有的事，所以作为一个企业领导，必须学会把权力授予适当的人。
x;南京，古称金陵，已有近2500年的历史。她既有自然山水之胜，又有历史文物之雅，兼具古今文明的园林化城市。
x;那就是我的理由为什么我想提拔他。
o;电脑的发明给人们的生活带来了很大的便利。
o;直到今天，人类还不完全清楚恐龙灭亡的原因。
o;现代社会交通是衡量一个城市甚至一个国家发达程度的重要标准。
o;树木不但能提供氧气，而且是造纸的原料。
o;桔子、苹果、香蕉等水果含有丰富的维生素。
x;电影的发明，让人们第一次可以真实地实现活动的生活场景。
o;长期从事一种工作会让人感到无聊，而无聊会让身体感到疲惫。
o;认真倾听对方的话是交谈时最基本的礼貌。
x;语言的使用，促进了人类的思维，使得大脑更加发达。
o;在人类所患的各种疾病中，再没有比感冒更常见的了。
o;自古以来，中国就是一个崇尚玉器的国家，对玉有着特殊的情感。
o;以海洋资源为依托的海洋产业具有广阔的市场前景。
o;多年来，京郊旅游一直在北京旅游业中占有重要地位。
o;那种拔苗助长式的教育方式必会造成对孩子身体和心灵的双重伤害。
x;他的见解独到而且深刻，常应邀到许多高校发表演讲，深受学生欢迎。
x;台风给沿海居民的生活造成了很大的损失严重。
o;语文学习不是一朝一夕的事，只有多读多写，才能真正学好语文。
o;因为第一印象是最初的感觉，所以新鲜，引人注目，也容易记住。
o;生命不是一场赛跑而是一次旅行。比赛在乎终点，而旅行在乎沿途风景。
o;这项工程至少需要 10 年才能完工。
x;在年降雨量少于 500 毫升的地区不能种树，但只能种草。
o;经验多固然是好事，但如果一个人只靠经验工作，也是不行的。
o;世界各国的人口寿命数据表明，女性的平均寿命要比男性长7年。
o;作为一名军人的妻子，她多年来一直默默地支持他的工作。
o;十位评论家对一本书的赞扬，都比不过一位书店老板对这本书的欣赏。
x;这座桥修建于公元 612 年至 618 年，到现在已有快 1400 多年的历史了。
o;烧鱼时放一点儿醋，可以去腥。有些菜加醋后，更有风味，能增进食欲。
o;书画鉴定是一门综合学科，要求鉴定家有非常全面的学识和很高的艺术造诣。
o;面对逆境，是随波逐流，还是奋起抗争？强者懂得支配环境，而弱者往往受制于环境。
o;有的花在春天盛开，有的花在夏天怒放，只有梅花在寒冬中绽放，凌霜傲雪，香气袭人。
x;实践表明，一个国家森林的覆盖率达到全国总面积30%以上，或者分布均匀时，就不会发生较大的风沙旱涝等自然灾害。
o;丝绸之路的开辟，有力地促进了东西方经济、文化等各方面的交流与合作。
o;景泰蓝是燕京八绝之一，由于它的釉料颜色以蓝色为主，并且最初兴盛于明景泰年间，故称为景泰蓝。
x;《富春山居图》是元朝画家黄公望的作品，以浙江富春江为背景，墨色浓淡干湿并用，极富于变化，是中国十大传世名画。
o;冬至，是中国农历中一个非常重要的节气，也是中华民族的一个传统节日。这一天是北半球全年中白天最短、夜晚最长的一天。
o;紫荆花性喜温暖，易于繁殖，被香港人视做“繁荣、壮观、奋进”的象征。
x;在景色优美的园林中散步，有助于消除长时间工作带来的紧张和疲乏，并且脑力、体力得到恢复。
o;含羞草稍被触摸，叶子就会自然地收缩起来，即使一阵风吹过，也会出现这种情形，就像一个害羞的少女一般。
o;从根本上说，科技的发展，经济的振兴，乃至整个社会的进步，都取决于劳动者素质的提高和大量合格人才的培养。
x;7 月的内蒙古草原，是一个美丽的季节。
o;“位”不是一个普通的量词，它还含有敬重的意思。
o;一个志存高远的人，必定将追求优秀作为自己的人生目标。
o;心胸狭窄的人就像显微镜，将小事过分放大，大事却看不见。
o;在怎样获得快乐这个问题上，孩子有时是我们的老师。
x;书中的经验和知识对我们来说取之不尽、用之不竭的源泉。
o;我祖籍江苏无锡，再上两代是江苏武进，就是今天的常州。
o;生活中没有“删除”键，好的、坏的都是你人生的一部分，要学会珍惜。
o;顾客可以通过浏览我们的网站选择所需要的商品。
x;太阳能设备不用燃料，安全卫生，因为不会带来污染。
o;世界小麦种植的总面积，居粮食作物种植总面积的第一位。
o;作为一名管理者，你可以不知道下属的缺点，却不能不知道下属的长处。
o;光线太强或太弱，都容易使眼睛感到疲劳。
o;这是一个专门教你怎么制作网页的免费网站。
x;一般情况下，敬酒一定要充分考虑好敬酒的顺序，分明主次。
o;世界上没有完全相同的两片树叶，更没有完全相同的两个人。
o;拥有资源的人不一定能成功，善用资源的人才会成功。
o;晚唐诗人中，诗歌成就最高的，是擅长写爱情诗的李商隐。
x;有些植物的花朵因吸收金属元素而改变颜色，这也能成为找到地下矿藏。
o;今天是上海世博会开园后的第三个周六，参观人数达到开园以来最高峰。
o;简单的生活，无论对身体还是精神，都大有裨益。
o;第十届国际马拉松赛报名时间将于本月 12 号截止。
o;对语言的应用，应该力求用最经济的方式，表达最丰富的内容。
x;每个人都需要表露自己的情绪：如喜怒哀乐忧惧等，尤其孩子如此。
o;早饭一定要吃，因为它可以帮助你维持血糖水平的稳定。
o;当人的注意力不集中时，就会下意识地眨眼，以减少进入大脑的信息。
x;据预测，明年第二季度国际市场的原油日需求量将减少 250 万桶以内。
o;豆浆是中国人十分喜爱的一种饮品，它营养丰富，又被称做“植物奶”。
x;在她的心目中，童年跟大自然相处的那段日子是自己受过的最好的艺术教育。
o;地球上最宽阔的是海洋，比海洋更宽阔的是天空，比天空更宽阔的是人的胸怀。
o;颐和园是一座环境幽雅、建筑精美、举世闻名的古典园林，它是中外游客到北京的必游之地。
o;登山之前要掌握一些登山的知识，而且还要准备好登山的装备，这样才能更好地应对意外情况。
o;冬季停车要注意选择地点，尽量避开坑洼潮湿处，以免积水结冰，冻住车轮。
o;按照中国农历，“立夏”代表着夏季来临，不过由于中国幅员辽阔，各地入夏的时间并不一致。
x;卷心菜可以说是所有的蔬菜中最为古老的一种，我们知道古时候的人就已经很久以前一直在吃它了。
o;初次见面，能说出对方姓名，并说一两句恭维话，可以给对方留下好印象。不过，恭维不能过头，说多了会令对方觉得你世故、虚伪。
o;一口整洁的牙齿，不仅是身体健康的标志，还能使人在社交场合充满自信。
o;你努力了，不见得能得到你想要的成功。但在努力的过程中，你一定会有所获得。
x;胶片的发明催生了另外一个改变人类记录方式的事物的产生带来很大影响，那就是电影。
o;节日期间，各星级饭店纷纷推出特色餐饮和特惠措施，吸引大量市民走进饭店欢度佳节。
o;创新并不拒绝模仿，模仿是创新的基础。
x;不管大家强烈反对，他仍然坚持自己的意见。
o;镜子只能照出你的外貌，而生活却能照出你的心灵。
o;他去年刚从学校毕业，所以应该说不如其他设计师经验丰富。
o;即使是天才，缺少了勤奋的汗水也难以取得成功。
x;你不努力学习，那怎么可能有好的成绩是可想而知的。
o;大多数人想要改造这个世界，但却很少有人想改造自己。
o;世界杯期间，一些公司采取了人性化的措施，将上班时间延后一小时。
x;有没有坚定的意志，是一个人在事业上能够取得成功的关键。
o;作为倾诉对象，我们不需要发表自己的观点，认真倾听就够了。
o;有一位哲学家曾经说过：“金钱是最好的仆人，也是最坏的主人。”
o;人们追逐时尚，不是因为它符合自己的气质，而只是因为大家都是如此。
o;只有在春天，才能看到这种鲜花。
o;你不能左右天气，但你可以尝试改变心情。
x;不但他喜欢京剧脸谱，而且喜欢京剧的各种服饰。
o;羊的胆子很小，遇到点儿响动就会惊慌失措，四下奔逃。
o;许多取得伟大成就的人，都具有刻苦勤奋的精神。
o;到中国旅游的外国游客通常都会将西安列入他们的行程表。
x;这个地区的粮食总产量，除了供给本地区外，还运送给其他地区。
o;参加活动的读者请在2010年9月1日之前，将《读者调查表》寄回本社。
x;你知道，以前我做过推销员三年。
o;创造力与一般能力的区别在于它的新颖性和独创性。
o;蘑菇中有丰富的营养成分，而且热量很低，常吃也不会发胖。
o;真诚不意味着一定要指责别人的缺点，但意味着一定不恭维别人的缺点。
o;世界上第一台监测地震的地动仪是张衡发明的。
x;关于语言方面的能力，我有自信肯定能满意贵方。
o;今天夜间到明天白天，北京大部分地区将会出现大到暴雨。
o;不要轻易去否定一个人的作用和价值，永远不要轻视身边的“小人物”。
o;人生就是这样，没有人为你等待，没有机会为你停留，只有与时间赛跑，你才有可能会赢。
x;今天，我们去了北京郊区的地方，游览了很多著名的景点，如十三陵、青龙峡、黑龙潭等。
o;王永民发明的“五笔字型”汉字输入法，在古老的汉字和现代化电子计算机之间，架起了一座畅通无阻的桥梁。
o;自由职业带来的“自由”是相对而言的，自由职业者虽然可以自主选择工作内容、方式等，却不等于可以随心所欲。
x;互联网的应用给我们的生活带来了巨大的变化，这些变化既有正面的也是负面的。
o;臭氧层好比是地球的“保护伞”，阻挡了 99%的紫外线辐射，保护着地球上的生物。
o;李嘉诚从小受到家庭环境的熏陶，3 岁就开始读唐诗，到小学毕业时，已经能读《红楼梦》《老残游记》《资治通鉴》了。
o;喀纳斯被誉为天山以北最美的地方，其实北国边疆处处是美景，作为单身的背包客，我不时会闯入人们还未曾涉足的人间仙境。
o;杯水车薪，是说用一杯水去救一车着了火的柴草，比喻力量太小，解决不了问题。
o;人可以不美丽，但要健康；人可以不伟大，但要快乐；人可以不完美，但要有追求。
x;昨天下午，温州市瓦市小学的 1000 多名学生十分兴高采烈地参加了学校举行的“包粽子——感受端午节民族传统文化”实践活动。
o;有些儿童文学作品偏重于理性教育，过多地注入了成人的思想，孩子天性中爱游戏、爱求知、爱趣味、爱幻想的成分却被忽略了。
o;只要路是对的，就不怕路远。
o;这儿的冬天一点儿也不冷，下雪天更是罕见。
x;父亲对我要求特别高，他的全部希望寄托我身上。
o;最后，他以领先对手0.1秒的优势成功地闯进了决赛。
o;忘掉失败，不过要牢记失败中的教训。
x;他们昨晚刚办了一个生日宴会，所以屋子里显得很乱糟糟的。
o;积极的人在忧患中看到机会，而消极的人则在机会中看到忧患。
o;毛主席说：我们的目的一定要达到，我们的目的一定能够达到。
o;生活最大的乐趣在于通过奋斗去获得我们想要的东西。
o;为了躲避天敌的追杀，很多动物都具有非常强的伪装能力。
x;我相信贵公司以后不但会在国内，而且会向海外也推广这些产品。
o;琴棋书画，又称“四艺”，是指古琴、围棋、书法、绘画这四门技艺。
o;很多人拥有时不懂得珍惜，当懂得珍惜时，却失去了珍惜的机会。
x;由于计算机技术的普及，为学校开展多媒体教学提供了良好的条件。
o;孙中山铜像总高度为 11.12 米，寓意孙中山先生的诞辰 11 月 12 日。
o;不管鸟的翅膀多么完美，如果不凭借空气，它就永远不能飞到高空。
x;近两年来，这些志愿者积极投入到各项环保活动。
o;刘处长决定明天上午开会讨论这一方案的可行性。
o;今天是我们结婚 10 周年纪念日，我们应该好好庆祝一下。
o;通常，蜜蜂的性格是温和的，只有在感觉受到威胁时，它才会攻击敌人。
o;这个就是最大的，没有比它再大的了。
o;我们要多结交两种人：一是良师，二是益友。
x;北京私人购买汽车的数量已经占到汽车销售总量的将近 80%以上。
o;青海的自然风光雄奇壮美，具有典型的高原特色，民俗风情也独特迷人。
o;营养早餐应包括谷物、肉类、奶类、蔬菜、水果等。
o;中国是茶叶大国，其中的一个表现就是茶的品种特别多。
o;在心存善念的人眼中，世界上没有坏人，只有做错了事情的好人。
x;“胡思乱想”有助于消除工作、生活中的紧张疲劳与放松身心的作用。
o;孔子说“有教无类”，意思是不分贵族、平民，只要有心向学，都可入学受教。
o;聪明的人善于借用别人的智慧来提升自己，从别人那里借用智慧比获得金钱更有意义。
o;经济增长是指一个国家或地区生产的物质产品和服务的持续增加，它意味着经济规模的扩大和生产能力的提高。
x;随着人们环保意识的提高，越来越多的人在购买家电产品时，把节能做重要的衡量标准，绿色家电成为新的时尚选择。
o;如果一个人热爱自己所从事的工作，那么他就会在工作的过程中获得快乐。
o;我家就在海边，小时候，父亲常常带着我到海边散步，一边走一边给我讲故事。
x;除了拥有广告设计文凭外，我还上过一个与旅游有关的课程，相信这些知识对这份工作能有着一定的帮助。
o;现代社会面临的一个重要课题，是如何让低收入阶层从经济的发展中有所收益，如何更有效地保护他们的权益。
o;《孙子兵法》又称《孙子》，成书于公元前五世纪的春秋末期，是中国也是世界上最古老的军事理论著作。
x;我觉得这篇文章已经很不错了，但还存在一些缺点，只有好好修改修改，并把内容充实一下，那就更好了。
o;人的一生中，可以有所作为的时候就是现在，然而，许多人却在悔恨过去和担忧未来之中浪费了大好时光。
o;“远亲不如近邻”，意思是说和邻居关系友好非常重要。在你最需要帮助的时候，也许只有他们可以及时地帮助你。
o;一个人只要真诚，总能打动人。
x;关于母亲的身体健康，他一直很关心。
o;他非常喜欢游泳，每个周末都会去体育馆游一两个小时。
o;树的年轮可以指示方向，年轮宽的一面是南，窄的一面是北。
o;上小学的时候，他就能识别出上百种昆虫。
o;去帮助别人，但不要计较别人能不能、会不会报答你。
o;相传古时候天上有 10 个太阳，后羿射掉了 9 个，剩下一个。
x;我们大约30多年不见面了，但是在机场我还是一眼就认出她来了。
o;那篇小说不太长，我一个小时就看完了。
o;二十四节气是中国古代制定的一种用来指导农业生产的补充历法。
x;虽然所有事情都正在按部就班地进行，但她依然很担心能不能按期完工。
o;健身时要选择合适的场所和舒适的装备，那样才能享受运动带来的乐趣。
o;人生可以没有很多东西，但是不能没有希望。
x;由于剪纸材料和所用的工具决定了剪纸的艺术风格。
o;尽管在科学领域取得了卓越的成就，但从外表上看，他很不起眼。
o;在充满竞争的社会，一个不甘于平凡的人，唯一的选择就是努力和进取。
o;如果发现自己错了，就要马上改正过来。
o;麻雀的翅膀不耐远飞，它的活动范围在 2.5 至 3 千米。
x;中国民间传说数量众大，内容丰富，而且充满艺术魅力。
o;碳酸饮料俗称汽水，是充入二氧化碳气体的一种软饮料。
o;选择适合的企业文化对企业的发展非常重要。
o;随着时代的发展，人们的服饰也在发生着变化。
o;影响一个人快乐的，有时并不是困境及磨难，而是一个人的心态。
x;昨天下班的时候，外面下起了大雨，我一直到晚上8点半才能回到家。
x;故宫旧称紫禁城，是北京最标志性的建筑。
o;少说话，多做事，是初入职场者的“金科玉律”。
o;“五行”指的是金、木、水、火、土五种基本物质。
o;“己所不欲，勿施于人”是说自己不希望得到的，也不要强加于他人。
o;写日记能够健康有效地释放压力，让你从中解脱，变得更加宽容、更富激情。
o;苏州的苏绣、湖南的湘绣、四川的蜀绣和广东的粤绣，被誉为中国的四大名绣。
x;周四之前，你们先把这个问题研究，周四上午，向公司董事会做一个全面的介绍。
